Skill,Count,Percentage
Business Analysis,57,27.3
SQL,39,18.7
ERP,22,10.5
Excel,13,6.2
Power BI,8,3.8
Data Modeling,7,3.3
Python,6,2.9
Tableau,3,1.4
Machine Learning,3,1.4
R,0,0
